classification,cap-shape,cap-surface,cap-color,bruises?,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,YELLOW,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,YELLOW,SEVERAL,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,YELLOW,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,YELLOW,CLUSTERED,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,YELLOW,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,BROWN,SEVERAL,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,YELLOW,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,BROWN,CLUSTERED,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,YELLOW,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,ORANGE,SEVERAL,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,YELLOW,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,ORANGE,CLUSTERED,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,YELLOW,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,BUFF,SEVERAL,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,YELLOW,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,BUFF,CLUSTERED,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,ORANGE,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,YELLOW,SEVERAL,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,ORANGE,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,YELLOW,CLUSTERED,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,ORANGE,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,BROWN,SEVERAL,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,ORANGE,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,BROWN,CLUSTERED,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,ORANGE,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,ORANGE,SEVERAL,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,ORANGE,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,ORANGE,CLUSTERED,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,ORANGE,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,BUFF,SEVERAL,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,ORANGE,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,BUFF,CLUSTERED,LEAVES
EDIBLE,BELL,SMOOTH,BROWN,NO,NONE,ATTACHED,CLOSE,BROAD,BROWN,ENLARGING,?,SMOOTH,SMOOTH,ORANGE,ORANGE,PARTIAL,BROWN,ONE,PENDANT,YELLOW,SEVERAL,LEAVES
